Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Calories
paleo,Slow-Cooker Paleo Meatballs,eastern europe,145.6,102.25,144.33,2290.37
paleo,Paleo Pork Chili Verde,american,107.7,68.02,28.69,961.09
paleo,Paleo Steak and Egg Salad,american,65.19,17.09,69.97,958.85
paleo,Easy Paleo Beef with Broccoli,mediterranean,102.5,38.41,98.85,1453.29
paleo,Paleo Pecan Tart Crust recipes,american,21.03,25.01,112.66,1198.1
paleo,Paleo Vanilla Birthday Cake recipes,french,71.11,159.31,147.25,2246.9300000000003
paleo,Egg-Free Paleo Macaroons recipes,french,10.16,105.7,110.51,1458.03
paleo,Paleo Raw Chocolate Bites recipes,american,46.07,261.6,147.5,2558.1800000000003
paleo,Practical Paleo: Mint Chip Truffles,american,3.76,23.94,80.65,836.6500000000001
paleo,Easy Paleo Herb Gravy recipes,french,23.56,39.05,42.25,630.69
paleo,Homemade Mayo (Paleo and Whole30 Friendly!),italian,2.81,1.11,112.61,1029.17
paleo,Paleo and Vegan Pesto stuffed mushrooms,american,10.73,15.5,49.29,548.53
paleo,Paleo Dirty Cauliflower ‘Rice’ Recipe,mediterranean,26.68,80.75,35.37,748.05
paleo,Paleo Cauliflower Bacon Fried Rice Recipe,chinese,28.76,50.01,48.09,747.8900000000001
paleo,Paleo Comfort Foods’ Poached Pears recipes,french,9.82,214.27,3.04,923.72
paleo,Strawberry Rhubarb Crisp - and it's paleo. recipes,american,32.24,250.87,139.25,2385.69
paleo,Paleo Pasta Salad with Avocado Oil Vinaigrette,french,31.23,74.97,116.67,1474.83
paleo,Paleo Doritos Toast Will Scratch Your Snack Itch,american,32.75,22.67,2.45,243.73000000000002
paleo,"Paleo Pumpkin, Coconut, & Maple Custard Cups recipes",american,36.0,142.79,107.74,1684.82
paleo,Paleo Spaghetti Squash and Amped Up Meatballs,italian,128.33,154.22,125.77,2262.13
paleo,Swiss Paleo’s Bugs Bunny Hasenpfeffer Stew recipes,nordic,65.78,96.23,130.86,1825.7800000000002
paleo,Paleo-Friendly Roasted Butternut Squash with Crispy Sage Leaves,nordic,6.45,66.8,42.58,676.22
paleo,Orange Sriracha Chicken recipes,south east asian,104.17,82.97,64.82,1331.9399999999998
paleo,Overnight Cherry Chia Seed Pudding – Paleo/Gluten Free/Vegan,american,12.77,112.92,56.84,1014.32
paleo,Paleo Comfort Food? Here’s A Creamy Shrimp Fra Diavolo recipes,italian,102.47,51.64,54.82,1109.8200000000002
paleo,"Instant Pot Buffalo Sweet Potato Soup {Vegan, Whole30, Paleo, Gluten-Free}",american,14.26,79.07,109.53,1359.09
paleo,Dill Butternut Squash Fries,american,7.68,89.2,14.38,516.94
paleo,Crispy Sweet Potato Fries,south american,4.4,56.19,28.84,501.91999999999996
paleo,Rosemary and Garlic Parsnip Mash,american,3.34,48.53,13.6,329.88
paleo,Nutella Brownie Truffles,french,12.21,151.95,98.75,1545.3899999999999
paleo,Salmon Cakes,nordic,86.31,11.17,66.45,987.97
paleo,Crockpot Italian Chicken and Peppers,italian,86.07,84.94,43.04,1071.4
paleo,Herbed Rack of Lamb,middle eastern,35.36,6.76,133.82,1372.86
paleo,Roasted Tomato Soup,italian,39.32,88.7,50.97,970.8100000000001
paleo,Sweet Plantain Guacamole,south american,19.18,134.0,138.71,1861.1100000000001
paleo,Turkey Spaghetti Zoodles,american,122.69,96.81,51.15,1338.35
paleo,Celery Leaf & Fennel Poached Salmon,nordic,32.41,17.25,24.49,419.04999999999995
paleo,Turkey Veggie Meatballs With Spaghetti Squash,american,122.78,147.94,51.84,1549.44
paleo,Asian Sesame Chicken & Broccoli,chinese,107.67,31.95,70.25,1190.73
paleo,Cauliflower Fried Rice,chinese,46.62,82.76,53.47,998.75
paleo,Khoresht Lubia Sabz (Persian Green Bean Stew),american,121.29,69.51,49.55,1209.15
paleo,Easy Pan Gravy,british,0.32,6.54,11.65,132.29000000000002
paleo,Salsa Fresca estilo Siete,mexican,4.94,33.55,1.11,163.95
paleo,Cauliflower Soup Drizzled with White Truffle Oil,french,41.9,64.07,37.95,765.4300000000001
paleo,Apple Pumpkin Soup,american,9.95,64.53,19.56,473.96000000000004
paleo,Beef Chorizo con Huevo estilo Siete,mediterranean,133.92,12.88,92.88,1423.12
paleo,Angel Food Cake,american,55.09,283.94,5.02,1401.3
paleo,Asian Chicken Salad,asian,69.61,44.66,128.44,1613.04
paleo,"Kale, Artichoke and Pecorino Salad",mediterranean,36.98,40.42,58.68,837.72
paleo,Artichoke Francaise,mediterranean,35.81,127.03,62.87,1217.19
paleo,Homemade Ravioli with Ricotta Cheese and Spinach Filling,italian,118.65,300.0,107.45,2641.65
paleo,Ribollita,italian,66.67,180.22,111.67,1992.59
paleo,Artichoke and Perfect Asparagus Salad with Lemony Herbed Vinaigrette,mediterranean,22.61,68.6,103.89,1299.85
paleo,Indian Spiced Broccoli and Potato Hash,nordic,9.39,47.36,10.47,321.23
paleo,Vegan Dark Chocolate Coconut Tart,american,32.24,221.1,103.54,1945.22
paleo,Pork and Charred Brussels Sprouts with Chile Lime Sauce,south american,145.56,240.17,89.14,2345.1800000000003
paleo,Apple Fennel Casserole with a Coconut-Turmeric Twist,italian,5.6,46.5,18.34,373.46000000000004
paleo,Vegan Coconut Cream Tart with White Peaches and Blueberries,american,39.45,285.88,109.49,2286.73
paleo,Paleo MeeNut™ Butter Sandwich on Paleo Bread™,american,0.93,3.08,24.31,234.82999999999998
paleo,Low Carb Paleo Egg Wrap Recipe,american,16.71,28.5,15.85,323.49
paleo,Paleo Nutella Banana Ice Cream,american,7.86,186.18,30.1,1047.0600000000002
paleo,The Elvis Paleo Sandwich Recipe,american,18.72,68.14,54.08,834.16
paleo,Simple Paleo Coleslaw Dressing,mediterranean,6.76,17.01,89.82,903.4599999999999
paleo,Paleo Bread Stuffing recipes,american,54.96,208.13,49.2,1495.1599999999999
paleo,Paleo deviled egg recipe,french,32.74,3.08,69.22,766.26
paleo,Paleo Chipotle Dipping Sauce,mexican,2.14,15.79,116.27,1118.15
paleo,Paleo Tzatziki,mediterranean,2.82,17.07,13.93,204.93
paleo,Loaded Paleo Cauliflower Nachos recipes,mexican,52.93,75.7,131.7,1699.82
paleo,Paleo Broccoli Salad recipes,american,22.75,124.99,146.91,1913.15
paleo,Healthy Paleo Marble Cake recipes,american,42.18,245.32,90.32,1962.8799999999999
paleo,Paleo Meatball Sub,american,57.04,62.66,77.65,1177.65
paleo,Paleo Egg Salad recipes,american,35.77,30.22,88.57,1061.09
paleo,"Caramel Caffe Latte (paleo, GF, dairy-free) recipes",american,3.28,32.7,15.37,282.25
paleo,Smoky Paleo Deviled Eggs recipes,french,34.1,8.47,69.53,796.05
paleo,Paleo Barbecue Beef and Bacon recipes,american,114.04,148.84,128.75,2210.27
paleo,Paleo Pad Thai with Zucchini Noodles,south east asian,3.5,40.81,0.36,180.48000000000002
paleo,Paleo Sunbutter Cups recipes,french,0.1,32.29,27.63,378.23
paleo,Paleo Quiche Cups,french,59.38,43.71,82.41,1154.05
paleo,Paleo Smoked Tuna Salad recipes,american,24.83,19.77,90.32,991.2799999999999
paleo,Paleo Lemon Mousse,french,17.82,77.84,84.12,1139.72
paleo,Paleo Aioli Salad Dressing,mediterranean,0.53,2.32,44.57,412.53
paleo,Paleo Chicken Salad with Dates & Walnuts {Whole30} recipes,mediterranean,97.63,88.59,98.0,1626.88
paleo,Paleo Blackberry Muffins recipes,american,43.48,81.37,88.44,1295.3600000000001
paleo,Paleo Blackberry Instant Pot Cobbler,french,33.01,287.56,114.66,2314.2200000000003
paleo,Paleo Banana Bread French Toast,french,21.23,203.11,42.55,1280.31
paleo,Toasted Egg Fiesta Paleo Wrap (Ketogenic),american,13.92,32.74,26.53,425.41
paleo,"Gluten Free Beef and Tomato {Chinese Style, Paleo Option} recipes",chinese,107.83,56.13,81.39,1388.35
paleo,Papaya Chicken Paleo Wrap,british,40.75,33.63,35.28,615.04
paleo,"Blueberry Almond Mug Cake (Paleo, Gluten Free)",american,14.22,33.55,34.47,501.31
paleo,"Creamy Roasted Sesame Dressing (Paleo, Whole30, Keto)",mediterranean,3.3,13.24,57.69,585.37
paleo,Smoked Salmon Paleo Wrap Bites,nordic,34.01,82.25,27.63,713.7099999999999
paleo,Creamy (yet Paleo) Cucumber Salad recipes,american,3.23,17.66,45.05,489.01
paleo,Bunless Paleo Chicken BLTs recipes,american,97.48,19.3,119.43,1541.9900000000002
paleo,Paleo Crab Cakes recipes,french,97.65,19.1,76.38,1154.42
paleo,Simple Paleo Coleslaw recipes,mediterranean,14.52,80.91,90.39,1195.23
paleo,Flourless Chocolate Peppermint Cake (Paleo and Low Carb) recipes,american,45.19,255.14,114.31,2230.1099999999997
paleo,Paleo Cheese-Stuffed Meatballs,american,103.97,82.66,131.02,1925.7
paleo,"Paleo Shrimp, Bacon and Tomato Pasta Recip",italian,72.33,48.97,74.65,1157.05
paleo,Primal Organic Chicken Recipe In A Paleo Wrap,american,37.07,50.05,35.2,665.28
paleo,Paleo Vegan Cherry Garcia Ice Cream,american,16.51,257.72,52.79,1572.0300000000002
paleo,Paleo Crab Cakes,american,32.3,14.14,106.85,1147.4099999999999
paleo,Paleo Chicken Piccata,french,38.49,111.57,127.66,1749.18
paleo,Baked Ranch Chicken Tenders (Paleo + Whole30),american,105.57,129.65,146.59,2260.19
paleo,Chocolate Almond Buttercream Cups | PALEO,american,27.72,280.99,138.5,2481.34
paleo,Paleo Broccoli Salad,american,33.1,59.46,126.68,1510.3600000000001
paleo,"Cauliflower Fried ""Rice"" (Paleo)",chinese,26.48,44.85,16.65,435.16999999999996
paleo,Paleo Pumpkin Bolognese,italian,83.7,41.66,96.89,1373.45
paleo,Paleo Egg Nog Cake recipes,british,62.83,159.42,66.35,1486.15
paleo,Sloppy Joe's - Paleo & Whole30 recipes,french,94.68,90.81,85.8,1514.1599999999999
paleo,Portobello Mushroom Paleo Taco,italian,81.07,46.84,114.72,1544.12
paleo,Keto Paleo Tuna Taquitos Recipe,mexican,46.45,79.45,75.1,1179.5
paleo,Paleo Chocolate Coconut Milk Panna Cotta,italian,23.39,101.95,147.65,1830.21
paleo,"Slow Cooker Honey Peach Chipotle Meatballs (Gluten Free, Paleo) recipes",eastern europe,23.44,256.29,25.75,1350.67
paleo,Paleo Roasted Cabbage with Mustard Seed Dressing recipes,mediterranean,4.18,14.45,50.79,531.63
paleo,Paleo Tuna Spinach Casserole recipes,italian,84.76,50.54,92.11,1370.19
paleo,Slammin Wild Salmon Paleo Wrap Tumeric,nordic,95.18,45.51,55.22,1059.74
paleo,Vietnamese Spring Rolls (Paleo) recipes,south east asian,38.7,122.93,71.13,1286.69
paleo,Paleo Chicken Shawarma recipes,middle eastern,114.46,52.87,92.38,1500.7399999999998
paleo,Paleo Spinach Donuts recipes,american,43.22,247.39,124.45,2282.49
paleo,Quick and Easy Paleo Salads,french,44.68,28.95,73.11,952.51
paleo,Paleo Ground Beef Spaghetti Squash Skillet,italian,96.21,128.43,115.48,1937.8799999999999
paleo,Dulce de Leche Ice Cream (Paleo) recipes,italian,14.38,177.86,141.1,2038.86
paleo,"Easy BBQ Jackfruit Saute Recipe [Paleo, Vegan]",american,2.02,108.4,14.76,574.52
paleo,"Easy 10 Minute Asian Zucchini Noodles (low-carb, Paleo) recipes",asian,13.86,37.92,7.02,270.3
paleo,Paleo Maple Pecan Latte Mug Cake,american,12.5,36.44,32.19,485.46999999999997
paleo,"Easy Chicken Herb Salad (Paleo, Low Carb) recipes",american,81.02,9.13,109.01,1341.69
paleo,Paleo Ground Beef Spaghetti Squash Skillet recipes,italian,96.21,128.43,115.48,1937.8799999999999
paleo,"Healthy Buffalo Turkey Meatballs (paleo, GF) recipes",american,107.96,14.59,67.22,1095.18
paleo,Primal Roast Beast Wrap Recipe,british,65.76,53.13,62.59,1038.8700000000001
paleo,Saucy Grilled Paleo Pork Chops Recipe,eastern europe,77.12,79.94,29.49,893.65
paleo,Paleo Chicken Taco Meatballs (GF) recipes,mexican,90.61,10.48,51.89,871.37
paleo,Smoky BBQ Paleo Chili recipes,american,97.93,107.81,116.11,1867.95
paleo,Collard Green Paleo Slaw (Super Slaw) recipes,mediterranean,5.4,28.18,31.71,419.71
paleo,"Blueberry Chia Seed Coleslaw (Paleo, GF) recipes",american,12.01,80.23,53.09,846.7700000000001
paleo,Paleo Cauliflower Fried Rice,chinese,56.99,97.39,56.34,1124.58
paleo,"Easy Crab Cakes (Paleo, Low Carb) recipes",french,94.1,15.58,63.84,1013.28
paleo,Paleo Whole30 Classic Potato Salad,mediterranean,32.03,272.41,57.65,1736.6100000000001
paleo,Paleo Chocolate Pistachio Biscotti recipes,italian,53.41,214.31,129.8,2239.08
paleo,Paleo Sloppy Joes with Sweet Potatoes recipes,american,90.72,202.74,106.32,2130.7200000000003
paleo,Paleo Sweet and Sour Pork,mediterranean,97.79,167.44,112.53,2073.69
paleo,"Egg Salad Lettuce Wraps (Paleo, GF) recipes",american,31.06,10.09,50.9,622.6999999999999
paleo,"Spaghetti Squash Soup with Pumpkin and Fall Flavors {GF, Vegan, Paleo}",american,42.79,175.5,44.84,1276.72
paleo,"BBQ Beef Pizza (AIP, Paleo)",italian,111.23,259.49,110.34,2475.94
paleo,Primal Curried Egg Salad Coconut Wraps,american,22.37,38.14,42.75,626.79
paleo,DIY Chicken Burrito Bowl (Paleo),mexican,86.59,165.25,101.45,1920.41
paleo,"Teriyaki Salmon Recipe (Grain-Free, Paleo) recipes",nordic,102.48,104.16,59.07,1358.19
paleo,Easy Paleo Shepherd's Pie recipes,american,107.14,93.45,137.29,2037.9699999999998
paleo,"Buffalo Chicken Cobb Salad {paleo, whole30",american,3.26,7.35,89.83,850.9100000000001
paleo,Paleo Carrot & Apple Juicer Pulp Muffi,british,56.05,119.56,118.16,1765.88
paleo,Sesame Ginger Paleo Turkey Meatballs recipes,american,104.28,42.67,56.99,1100.71
paleo,"Coconut Chocolate Chip Healthy Vegan Ice Cream Recipe (Paleo, Homemade, Dairy-Free)",american,16.29,154.99,89.99,1495.03
paleo,"Paleo Vegetarian Tacos with Zucchini, Squash & Eggplant recipes",mexican,33.3,254.57,86.36,1928.72
paleo,"Paleo Pepperoni Pizza with Veggies {GF, DF}",italian,39.65,112.8,58.12,1132.8799999999999
paleo,Almond Crusted Tilapia,mediterranean,135.57,96.94,107.04,1893.4
paleo,"Mini Zucchini Avocado Burgers Recipe [Paleo, Keto, AIP]",american,44.44,15.24,93.04,1076.08
paleo,Lemony Brussels Sprouts Salad {vegan+glutenfree+paleo},american,41.86,80.89,59.56,1027.04
paleo,Paleo Asian Cauliflower Fried ‘Rice’ recipes,chinese,39.84,54.08,71.55,1019.6299999999999
paleo,"Easy Apricot-Mustard Chicken Bake (paleo, GF) recipes",french,113.18,183.36,125.59,2316.4700000000003
paleo,Paleo Chicken Cauliflower Fried Rice,chinese,116.43,52.09,87.92,1465.3600000000001
paleo,"My signature dish – Mediterranean Chicken, Paleo-ized",mediterranean,121.64,74.55,135.13,2000.93
paleo,Chorizo Breakfast Tacos recipes,mexican,68.47,66.7,85.65,1311.5300000000002
paleo,Paleo Shepards Pie recipes,american,114.59,106.71,89.4,1689.8000000000002
paleo,Paleo Chocolate Chunk Strawberry Banana Bread,american,38.2,228.92,94.83,1921.95
paleo,Primal Guacamole Burger Recipe,mexican,99.33,50.03,102.87,1523.27
paleo,"Paleo Kimchi Beef Stir-Fry (Whole30, Keto)",american,66.68,45.64,31.42,732.0600000000001
paleo,"Vegan Paleo Blueberry Muffins {Grain Free, Gluten Free}",american,24.39,145.01,97.33,1553.57
paleo,"4 Ingredient Chocolate Peanut Butter Homemade Frosty Recipe (Vegan, Dairy-Free, Gluten-Free, Refined Sugar-Free)",american,25.63,137.31,38.5,998.26
paleo,Asian Healthy Broccoli Salad,chinese,61.72,116.82,136.47,1942.3899999999999
paleo,Cilantro Base recipes,american,3.5,19.57,13.98,218.10000000000002
paleo,"Squash Au Gratin (Paleo, GF) recipes",french,25.32,148.79,102.31,1617.23
paleo,Ranch Roasted Cashews recipes,american,51.65,88.86,137.28,1797.56
paleo,Simple Egg Drop Soup recipes,chinese,88.59,102.88,60.78,1312.9
paleo,Garlic Parmesan Zucchini Bread,italian,47.68,72.73,92.86,1317.38
paleo,Paleo Kale Orange Beef Stir Fry with Spiralized Sweet Potato Noodles,asian,53.5,90.16,45.21,981.53
paleo,"Bang Bang Shrimp (Paleo, Whole30, AIP)",japanese,94.91,24.03,95.1,1331.6599999999999
paleo,"French Tomato, Tuna, & Mustard Quiche (paleo, GF) recipes",french,63.83,61.93,58.2,1026.8400000000001
paleo,Mango Turkey Sloppy Joe Salad Bowls {Paleo} recipes,american,106.07,148.46,94.71,1870.51
paleo,Zucchini-Bacon Egg Muffins (Gluten-Free),british,91.77,24.63,144.03,1761.87
paleo,Paleo Shrimp Cakes with Tangy Lemon Aioli recipes,mediterranean,76.25,59.59,119.56,1619.4
paleo,Coronation Chicken Salad,american,106.52,38.99,136.13,1807.21
paleo,Seafood Pumpkin Spaghetti Squash Pasta {Paleo} recipes,italian,37.87,78.72,76.18,1151.98
paleo,"Sweet Potato Salad Niçoise (paleo, GF) recipes",french,119.06,196.4,78.45,1967.8900000000003
paleo,"Mixed Baby Greens with Strawberries, Gorgonzola and Poppy Seed Dressing recipes",mediterranean,18.06,64.11,53.22,807.6600000000001
paleo,Chocolate Dipped Chocolate Meringue Cookies recipes,french,21.57,53.33,61.7,854.9000000000001
paleo,GO-LO Sugar Free Hazelnut Spread Review,american,14.52,183.36,14.79,924.6300000000001
paleo,Carrot Spice Cake Ice Cream,american,7.28,129.89,17.14,702.9399999999999
paleo,Lemongrass Vietnamese Meatballs recipes,south east asian,83.95,55.81,106.65,1518.8899999999999
paleo,"Paleo & Vegan Peach Cobbler {Gluten-free, Dairy-free} recipes",american,27.51,196.21,99.15,1787.23
paleo,Gai Satay (Chicken Satay with Peanut Sauce and Cucumber Salad),south east asian,99.35,18.37,59.84,1009.44
paleo,Cinnamon and Honey Roasted Walnuts recipes,american,0.9,54.56,2.64,245.6
paleo,Paleo Honey Orange Beef Stir Fry with Sweet Potato Noodles and Kale recipes,asian,55.86,114.48,45.35,1089.51
paleo,Coconut Mocha Loco Coffee Cake,american,6.57,43.3,50.35,652.63
paleo,Keto Taco Stuffed Mini Peppers,american,64.53,66.96,87.66,1314.9
paleo,5 Minute Grape Sorbet recipes,mediterranean,3.28,107.24,0.73,448.65
paleo,"Baked Low Carb Zucchini Fries (Paleo, AIP, Keto, Dairy Free)",french,25.33,57.48,97.11,1205.23
paleo,"Chicken Alfredo Bake Recipe {Paleo, Clean Eating, Gluten-Free, Dairy-Free, Whole30} recipes",italian,134.66,68.36,106.66,1772.02
paleo,Sweet and Spicy Sriracha Paleo Meatballs {easy} recipes,american,91.33,107.34,96.42,1662.46
paleo,Sweet Potato Nachos,mexican,81.13,112.58,113.68,1797.96
paleo,Sausage Broccoli Egg Muffins,british,94.02,11.86,99.36,1317.76
paleo,Two-Ingredient Chocolate Banana Ice Cream {Vegan} recipes,american,7.84,117.07,3.42,530.42
paleo,Lemon Creme Cups,french,8.34,67.08,85.75,1073.43
paleo,"Fresh Garden Egg Salad with Turmeric Dijon Dressing {Paleo, Whole30} recipes",american,35.46,39.47,97.69,1178.93
paleo,Ranch Roasted Cashews,american,51.65,88.86,137.28,1797.56
paleo,Sausage Stuffed Sweet Potatoes,american,11.33,29.24,15.9,305.38
paleo,Smoked Salmon Salad Cake recipes,nordic,79.44,94.82,134.03,1903.31
paleo,Carb Free Cloud Bread,american,23.34,4.53,17.99,273.39
paleo,Sausage Stuffed Sweet Potatoes,central europe,11.33,29.24,15.9,305.38
paleo,"Mini Applesauce Carrot Cake Muffins (Gluten-Free, Paleo) recipes",british,37.99,118.13,102.82,1549.86
paleo,"Asian Southwest Fusion EASY Kimchi Recipe (Paleo, Vegan Friendly) recipes",american,18.18,90.26,1.62,448.34
paleo,Blueberry French Toast Casserole,french,74.19,289.85,81.62,2190.7400000000002
paleo,Basil and Sun-Dried Tomato Compound Butter,american,2.41,5.63,92.42,863.9399999999999
paleo,Green Beans with Scrambled Eggs and Sausages recipes,american,46.37,12.17,56.94,746.62
paleo,Balsamic mustard salad dressing,american,1.67,38.66,82.05,899.77
paleo,Air Fryer Recipes (131 Style),italian,6.02,19.0,18.58,267.29999999999995
paleo,Tuna Salad recipes,american,56.28,5.32,47.74,676.0600000000001
paleo,Chicken Pesto Discs recipes,italian,89.94,54.81,119.82,1657.3799999999999
paleo,Egg Roll Bowls,italian,109.12,94.35,95.42,1672.6599999999999
paleo,Kiwi Apple Cider,american,8.53,210.51,9.79,964.27
paleo,Marla Sarris recipes,italian,97.03,203.4,62.14,1760.98
paleo,Elvis Style Loaded Sweet Potato,south american,12.26,45.88,30.15,503.90999999999997
paleo,No-Bake Energy Bars with Chocolate and Turmeric,american,33.66,81.57,148.1,1793.8199999999997
paleo,Butternut Squash Instant Pot Chili,american,13.0,107.78,15.66,624.06
paleo,Turkey Taco Balls,american,83.4,29.79,24.43,672.63
paleo,3-Ingredient Crunchy Strawberry Ice-Cream recipes,american,17.65,293.51,94.4,2094.24
paleo,Low Carb Fried Ice Cream,italian,22.62,127.17,104.56,1540.1999999999998
paleo,Cauliflower Hash Browns Who Knew?,french,24.46,27.76,27.96,460.52
paleo,"Balsamic Apple Walnut Salad {GF, Low Cal} recipes",american,7.26,35.93,11.89,279.77
paleo,"Grilled Chicken Pesto Pizza (grain-free, egg-free, nightshade-free) recipes",italian,88.13,161.76,115.41,2038.25
paleo,Spiralized Cucumber Salad Recipe with Chia Seed Strawberry Vinaigrette {Vegan + Paleo} recipes,american,12.17,97.45,76.12,1123.56
paleo,BBQ Chicken Sweet Potato Pizza,italian,112.99,285.71,98.15,2478.15
paleo,Creamy Bacon Beet Salad recipes,american,13.37,37.94,68.16,818.68
paleo,Walnut Pesto recipes,italian,31.36,15.7,39.44,543.2
paleo,Baked Ranch Chicken Tenders recipes,american,105.57,129.65,146.59,2260.19
paleo,Low Carb Bulgogi Ground Beef Bowl recipes,british,146.61,79.92,50.85,1363.7700000000002
paleo,Chicken Avocado Burgers,nordic,97.13,35.1,101.67,1443.9499999999998
paleo,Classic Egg Salad,american,34.18,10.4,69.54,804.1800000000001
paleo,Cucumber Tuna Cups,mediterranean,25.78,17.19,40.92,540.1600000000001
paleo,Sauteed Leek with Bacon recipes,french,11.61,39.2,41.13,573.4100000000001
paleo,Roast a Whole Cauliflower recipes,american,12.34,39.51,16.73,357.96999999999997
paleo,Honey Lime Shrimp recipes,american,92.31,26.34,2.46,496.74
paleo,Grilled Salmon Cobb Salad {Whole 30} recipes,nordic,60.01,22.5,112.86,1345.78
paleo,Tuna-Stuffed Eggs recipes,italian,52.87,4.1,29.95,497.43
paleo,Old Fashioned Deviled Eggs,american,60.92,6.01,118.36,1332.96
paleo,Paleo Tortillas,french,39.65,23.86,56.1,758.94
paleo,Strawberry Lime Granita,italian,4.45,56.47,1.76,259.52
paleo,Oven Poached Salmon with Cherry Tomatoes a,nordic,103.94,25.78,75.84,1201.44
paleo,Barbecue Chicken Pizza recipes,italian,91.36,208.4,50.82,1656.42
paleo,Traditional German Rotkohl (Sweet/Sour Red Cabbage) recipes,central europe,13.91,131.15,48.71,1018.63
paleo,Chocolate and Toasted Coconut Butter Pudding recipes,british,15.67,41.91,94.91,1084.51
paleo,Taco Stuffed Avocado Cups,mexican,103.22,54.18,123.51,1741.19
paleo,Crab Stuffed Shrimp Recipe,mediterranean,122.29,4.81,31.9,795.5
paleo,Basic Balsamic Steak Marinade recipes,american,97.52,21.4,145.98,1789.5
paleo,Paleo chocolate,american,8.66,77.46,114.72,1376.96
paleo,Paleo and Vegan Pumpkin and Fig Bread Pudding. Plus Why We Might Need Carbs During Fall Season recipes,british,15.17,104.57,12.73,593.53
paleo,Cauliflower Potato Salad,american,39.1,51.14,65.66,951.9
paleo,SPIRALIZED SWEET POTATO FRIES recipes,south american,3.35,37.48,131.84,1349.8799999999999
paleo,Healthy Chocolate Truffles recipes,french,19.39,113.88,103.46,1464.2199999999998
paleo,Paleo Crepes,french,29.26,9.68,63.3,725.4599999999999
paleo,Healthy Vegan Green Bean Casserole recipes,american,20.36,104.02,17.13,651.6899999999999
paleo,Vegan Ranch Dressing,american,17.1,26.49,77.37,870.69
